Year,Week,DateId,Team,Opp,Position,Player,PassAtt,PassCom,PassYds,PassTD,PassINT,Pass300,RushAtt,RushYds,RushTD,Rush100,RecCatches,RecYds,RecTD,Rec100,FumL,TwoPT,DefYardsTotal,DefPointsTotal,DefSk,DefINT,DefFF,DefFR,DefTD,DefSft,DefBlk,DefReturnTD,FantasyPointsDraftKings,FantasyPointsFanDuel
2019,17,20191229,ARI,@ LA,WR,Pharoh Cooper,0,0,0,0,0,0,0,0,0,0,1.6,18.4,0.08,0,0.02,0,0,0,0,0,0,0,0,0,0,0,3.9,3.1
2019,17,20191229,ARI,@ LA,WR,Trent Sherfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,ATL,@ TB,D,Atlanta Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.05,23.75,2.5,1.16,1.41,0.62,0.25,0.04,0.07,0.04,8,8
2019,17,20191229,ATL,@ TB,FB,Keith Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,TB,vs ATL,QB,Jameis Winston,37.18,22.49,290,1.81,1.16,0.46,3.1,13.02,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8,19.5
2019,17,20191229,ATL,@ TB,QB,Matt Ryan,38.05,25.49,293,1.87,0.75,0.47,2,5.4,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,19.3
2019,17,20191229,ATL,@ TB,RB,Brian Hill,0,0,0,0,0,0,5.1,20.91,0.13,0,0.5,3.6,0.03,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,3.9,3.6
2019,17,20191229,ATL,@ TB,RB,Devonta Freeman,0,0,0,0,0,0,13.5,49.95,0.25,0.06,4,28,0.24,0,0.13,0.04,0,0,0,0,0,0,0,0,0,0,14.9,12.6
2019,17,20191229,ATL,@ TB,RB,Kenjon Barner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,ATL,@ TB,RB,Qadree Ollison,0,0,0,0,0,0,0.9,3.42,0.17,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,1.4,1.4
2019,17,20191229,ATL,@ TB,TE,Austin Hooper,0,0,0,0,0,0,0,0,0,0,5,52.5,0.44,0.1,0.05,0.04,0,0,0,0,0,0,0,0,0,0,13.2,10.4
2019,17,20191229,ATL,@ TB,TE,Jaeden Graham,0,0,0,0,0,0,0,0,0,0,0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
2019,17,20191229,ATL,@ TB,TE,Luke Stocker,0,0,0,0,0,0,0,0,0,0,0.2,1.9,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4
2019,17,20191229,ATL,@ TB,WR,Brandon Powell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,ATL,@ TB,WR,Calvin Ridley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,ATL,@ TB,WR,Christian Blake,0,0,0,0,0,0,0,0,0,0,2.5,30,0.16,0,0.02,0,0,0,0,0,0,0,0,0,0,0,6.4,5.2
2019,17,20191229,ATL,@ TB,WR,Julio Jones,0,0,0,0,0,0,0,0,0,0,6.8,91.8,0.57,0.44,0.07,0,0,0,0,0,0,0,0,0,0,0,20.7,15.9
2019,17,20191229,ATL,@ TB,WR,Justin Hardy,0,0,0,0,0,0,0,0,0,0,1,11.95,0.08,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2.7,2.2
2019,17,20191229,ATL,@ TB,WR,Olamide Zaccheaus,0,0,0,0,0,0,0,0,0,0,0.5,6,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.1
2019,17,20191229,ATL,@ TB,WR,Russell Gage,0,0,0,0,0,0,0.2,1,0,0,4.2,43.26,0.29,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,10.4,8.2
